orig_family,orig_name,orig_author,orig_binomial,orig_genus,orig_species,orig_infraspecies_rank,orig_infraspecies,sp6,wcvp_matched_name,wcvp_matched_authors,wcvp_matched_rank,wcvp_matched_status,wcvp_matched_plant_name_id,wcvp_matched_ipni_id,match_similarity,wcvp_accepted_plant_name_id,wcvp_accepted_powo_id,wcvp_accepted_ipni_id,wcvp_accepted_name,wcvp_accepted_name_genus,wcvp_accepted_name_species,wcvp_accepted_name_rank,wcvp_accepted_family,wcvp_accepted_name_infraspecific_rank,wcvp_accepted_name_infraspecies,wcvp_accepted_author,wcvp_accepted_authority,wcvp_lifeform_description,origmatches,row_id,wcvp_matched_name_gbif_id,wcvp_matched_name_gbif_scientificName,wcvp_matched_name_gbif_matchtype,wcvp_matched_name_gbif_status,wcvp_matched_name_gbif_acceptedScientificName,wcvp_accepted_name_gbif_id,wcvp_accepted_name_gbif_scientificName,wcvp_accepted_name_gbif_matchtype,wcvp_accepted_name_gbif_status,wcvp_accepted_name_gbif_acceptedScientificName
Salicaceae,Casearia thamnia,(L.) T.Samar. & M.H.Alford,Casearia thamnia,Casearia,thamnia,,,LAETTH,Casearia thamnia,(L.) T.Samar. & M.H.Alford,Species,Accepted,3238294,77197256-1,1,3238294,77197256-1,77197256-1,Casearia thamnia,Casearia,thamnia,Species,Salicaceae,,,T.Samar. & M.H.Alford,(L.) T.Samar. & M.H.Alford,tree,TRUE,48,10825085,Casearia thamnia (L.) T.Samar. & M.H.Alford,EXACT,ACCEPTED,,10825085,Casearia thamnia (L.) T.Samar. & M.H.Alford,EXACT,ACCEPTED,
Moraceae,Castilla tunu,Hemsl.,Castilla tunu,Castilla,tunu,,,,Castilla tunu,Hemsl.,Species,Accepted,2704825,49375-2,1,2704825,49375-2,49375-2,Castilla tunu,Castilla,tunu,Species,Moraceae,,,Hemsl.,Hemsl.,tree,TRUE,49,3767458,Castilla tunu Hemsl.,EXACT,ACCEPTED,,3767458,Castilla tunu Hemsl.,EXACT,ACCEPTED,
Urticaceae,Cecropia insignis,Liebm.,Cecropia insignis,Cecropia,insignis,,,CECRIN,Cecropia insignis,Liebm.,Species,Accepted,2707049,850935-1,1,2707049,850935-1,850935-1,Cecropia insignis,Cecropia,insignis,Species,Urticaceae,,,Liebm.,Liebm.,tree,TRUE,50,4013292,Cecropia insignis Liebm.,EXACT,ACCEPTED,,4013292,Cecropia insignis Liebm.,EXACT,ACCEPTED,
Urticaceae,Cecropia longipes,Pittier,Cecropia longipes,Cecropia,longipes,,,CECRLO,Cecropia longipes,Pittier,Species,Accepted,2707062,50883-2,1,2707062,50883-2,50883-2,Cecropia longipes,Cecropia,longipes,Species,Urticaceae,,,Pittier,Pittier,tree,TRUE,51,4013134,Cecropia longipes Pittier,EXACT,ACCEPTED,,4013134,Cecropia longipes Pittier,EXACT,ACCEPTED,
Urticaceae,Cecropia obtusifolia,Bertol.,Cecropia obtusifolia,Cecropia,obtusifolia,,,CECROB,Cecropia obtusifolia,Bertol.,Species,Accepted,2707088,850947-1,1,2707088,850947-1,850947-1,Cecropia obtusifolia,Cecropia,obtusifolia,Species,Urticaceae,,,Bertol.,Bertol.,tree,TRUE,52,2984473,Cecropia obtusifolia Bertol.,EXACT,ACCEPTED,,2984473,Cecropia obtusifolia Bertol.,EXACT,ACCEPTED,
Urticaceae,Cecropia peltata,L.,Cecropia peltata,Cecropia,peltata,,,CECRPE,Cecropia peltata,L.,Species,Accepted,2707099,850956-1,1,2707099,850956-1,850956-1,Cecropia peltata,Cecropia,peltata,Species,Urticaceae,,,L.,L.,tree,TRUE,53,2984476,Cecropia peltata L.,EXACT,ACCEPTED,,2984476,Cecropia peltata L.,EXACT,ACCEPTED,
Malvaceae,Ceiba pentandra,(L.) Gaertn.,Ceiba pentandra,Ceiba,pentandra,,,CEIBPE,Ceiba pentandra,(L.) Gaertn.,Species,Accepted,2707382,1166232-2,1,2707382,1166232-2,1166232-2,Ceiba pentandra,Ceiba,pentandra,Species,Malvaceae,,,Gaertn.,(L.) Gaertn.,tree,TRUE,54,5406697,Ceiba pentandra (L.) Gaertn.,EXACT,ACCEPTED,,5406697,Ceiba pentandra (L.) Gaertn.,EXACT,ACCEPTED,
Cannabaceae,Celtis schippii,Standl.,Celtis schippii,Celtis,schippii,,,CELTSC,Celtis schippii,Standl.,Species,Synonym,2708458,51219-2,1,2594730,241097-2,241097-2,Sparrea schippii,Sparrea,schippii,Species,Cannabaceae,,,Hunz. & Dottori,(Standl.) Hunz. & Dottori,tree,TRUE,55,4159734,Celtis schippii Standl.,EXACT,ACCEPTED,,8332757,Sparrea schippii (Standl.) Hunz. & Dottori,EXACT,SYNONYM,Celtis schippii Standl.
Solanaceae,Cestrum schlechtendalii,G.Don,Cestrum schlechtendalii,Cestrum,schlechtendalii,,,CESTME,Cestrum schlechtendalii,G.Don,Species,Accepted,2713787,330712-2,1,2713787,330712-2,330712-2,Cestrum schlechtendalii,Cestrum,schlechtendalii,Species,Solanaceae,,,G.Don,G.Don,shrub,TRUE,56,3801334,Cestrum schlechtendalii G.Don,EXACT,ACCEPTED,,3801334,Cestrum schlechtendalii G.Don,EXACT,ACCEPTED,
Arecaceae,Chamaedorea tepejilote,Liebm.,Chamaedorea tepejilote,Chamaedorea,tepejilote,,,CHA1TE,Chamaedorea tepejilote,Liebm.,Species,Accepted,37671,54964-2,1,37671,54964-2,54964-2,Chamaedorea tepejilote,Chamaedorea,tepejilote,Species,Arecaceae,,,Liebm.,Liebm.,shrub,TRUE,57,2734551,Chamaedorea tepejilote Liebm.,EXACT,ACCEPTED,,2734551,Chamaedorea tepejilote Liebm.,EXACT,ACCEPTED,
Celastraceae,Cheiloclinium cognatum,(Miers) A.C.Sm.,Cheiloclinium cognatum,Cheiloclinium,cognatum,,,CHEICO,Cheiloclinium cognatum,(Miers) A.C.Sm.,Species,Accepted,2716141,55844-2,1,2716141,55844-2,55844-2,Cheiloclinium cognatum,Cheiloclinium,cognatum,Species,Celastraceae,,,A.C.Sm.,(Miers) A.C.Sm.,shrub or tree,TRUE,58,3790743,Cheiloclinium cognatum (Miers) A.C.Sm.,EXACT,ACCEPTED,,3790743,Cheiloclinium cognatum (Miers) A.C.Sm.,EXACT,ACCEPTED,
Rubiaceae,Chomelia spinosa,Jacq.,Chomelia spinosa,Chomelia,spinosa,,,CHOMSP,Chomelia spinosa,Jacq.,Species,Accepted,39607,746662-1,1,39607,746662-1,746662-1,Chomelia spinosa,Chomelia,spinosa,Species,Rubiaceae,,,Jacq.,Jacq.,shrub or tree,TRUE,59,5337321,Chomelia spinosa Jacq.,EXACT,ACCEPTED,,5337321,Chomelia spinosa Jacq.,EXACT,ACCEPTED,
Clusiaceae,Chrysochlamys eclipes,L.O.Williams,Chrysochlamys eclipes,Chrysochlamys,eclipes,,,CHR1EC,Chrysochlamys eclipes,L.O.Williams,Species,Accepted,2719965,57613-2,1,2719965,57613-2,57613-2,Chrysochlamys eclipes,Chrysochlamys,eclipes,Species,Clusiaceae,,,L.O.Williams,L.O.Williams,tree,TRUE,60,5555749,Chrysochlamys eclipes L.O.Williams,EXACT,ACCEPTED,,5555749,Chrysochlamys eclipes L.O.Williams,EXACT,ACCEPTED,
Sapotaceae,Chrysophyllum argenteum,Jacq.,Chrysophyllum argenteum,Chrysophyllum,argenteum,,,CHR2AR,Chrysophyllum argenteum,Jacq.,Species,Accepted,39960,311591-2,1,39960,311591-2,311591-2,Chrysophyllum argenteum,Chrysophyllum,argenteum,Species,Sapotaceae,,,Jacq.,Jacq.,tree,TRUE,61,2885742,Chrysophyllum argenteum Jacq.,EXACT,ACCEPTED,,2885742,Chrysophyllum argenteum Jacq.,EXACT,ACCEPTED,
Moraceae,Clarisia biflora,Ruiz & Pav.,Clarisia biflora,Clarisia,biflora,,,CLARBI,Clarisia biflora,Ruiz & Pav.,Species,Accepted,2724615,851228-1,1,2724615,851228-1,851228-1,Clarisia biflora,Clarisia,biflora,Species,Moraceae,,,Ruiz & Pav.,Ruiz & Pav.,tree,TRUE,62,7262852,Clarisia biflora Ruiz & Pav.,EXACT,ACCEPTED,,7262852,Clarisia biflora Ruiz & Pav.,EXACT,ACCEPTED,
Moraceae,Clarisia racemosa,Ruiz & Pav.,Clarisia racemosa,Clarisia,racemosa,,,CLARRA,Clarisia racemosa,Ruiz & Pav.,Species,Accepted,2724628,851229-1,1,2724628,851229-1,851229-1,Clarisia racemosa,Clarisia,racemosa,Species,Moraceae,,,Ruiz & Pav.,Ruiz & Pav.,tree,TRUE,63,5572170,Clarisia racemosa Ruiz & Pav.,EXACT,ACCEPTED,,5572170,Clarisia racemosa Ruiz & Pav.,EXACT,ACCEPTED,
Primulaceae,Clavija costaricana,Pittier,Clavija costaricana,Clavija,costaricana,,,CLAVCO,Clavija costaricana,Pittier,Species,Accepted,2724904,59800-2,1,2724904,59800-2,59800-2,Clavija costaricana,Clavija,costaricana,Species,Primulaceae,,,Pittier,Pittier,shrub or tree,TRUE,64,3585540,Clavija costaricana Pittier,EXACT,ACCEPTED,,3585540,Clavija costaricana Pittier,EXACT,ACCEPTED,
Primulaceae,Clavija fusca,B.Ståhl,Clavija fusca,Clavija,fusca,,,CLAVFU,Clavija fusca,B.Ståhl,Species,Accepted,2724916,274722-2,1,2724916,274722-2,274722-2,Clavija fusca,Clavija,fusca,Species,Primulaceae,,,B.Ståhl,B.Ståhl,shrub or tree,TRUE,65,3585524,Clavija fusca B.Ståhl,EXACT,ACCEPTED,,3585524,Clavija fusca B.Ståhl,EXACT,ACCEPTED,
Fabaceae,Clitoria arborescens,R.Br.,Clitoria arborescens,Clitoria,arborescens,,,,Clitoria arborescens,R.Br.,Species,Accepted,2727940,486481-1,1,2727940,486481-1,486481-1,Clitoria arborescens,Clitoria,arborescens,Species,Fabaceae,,,R.Br.,R.Br.,climbing shrub or liana,TRUE,66,2946562,Clitoria arborescens R.Br.,EXACT,ACCEPTED,,2946562,Clitoria arborescens R.Br.,EXACT,ACCEPTED,
Polygonaceae,Coccoloba darienensis,R.A.Howard,Coccoloba darienensis,Coccoloba,darienensis,,,COCCDA,Coccoloba darienensis,R.A.Howard,Species,Accepted,2729234,62052-2,1,2729234,62052-2,62052-2,Coccoloba darienensis,Coccoloba,darienensis,Species,Polygonaceae,,,R.A.Howard,R.A.Howard,tree,TRUE,67,4032994,Coccoloba darienensis R.A.Howard,EXACT,ACCEPTED,,4032994,Coccoloba darienensis R.A.Howard,EXACT,ACCEPTED,
Polygonaceae,Coccoloba manzinellensis,Beurl.,Coccoloba manzinellensis,Coccoloba,manzinellensis,,,COCCMA,Coccoloba manzinellensis,Beurl.,Species,Accepted,2729348,693740-1,1,2729348,693740-1,693740-1,Coccoloba manzinellensis,Coccoloba,manzinellensis,Species,Polygonaceae,,,Beurl.,Beurl.,tree,TRUE,68,4037724,Coccoloba manzinellensis Beurl.,EXACT,ACCEPTED,,4037724,Coccoloba manzinellensis Beurl.,EXACT,ACCEPTED,
Bixaceae,Cochlospermum orinocense,(Kunth) Steud.,Cochlospermum orinocense,Cochlospermum,orinocense,,,COCHOR,Cochlospermum orinocense,(Kunth) Steud.,Species,Accepted,44543,111532-1,1,44543,111532-1,111532-1,Cochlospermum orinocense,Cochlospermum,orinocense,Species,Bixaceae,,,Steud.,(Kunth) Steud.,tree,TRUE,69,4927630,Cochlospermum orinocense (Kunth) Steud.,EXACT,ACCEPTED,,4927630,Cochlospermum orinocense (Kunth) Steud.,EXACT,ACCEPTED,
Boraginaceae,Cordia alliodora,(Ruiz & Pav.) Oken,Cordia alliodora,Cordia,alliodora,,,CORDAL,Cordia alliodora,(Ruiz & Pav.) Oken,Species,Accepted,2736526,113943-1,1,2736526,113943-1,113943-1,Cordia alliodora,Cordia,alliodora,Species,Boraginaceae,,,Oken,(Ruiz & Pav.) Oken,shrub or tree,TRUE,70,7649215,Cordia alliodora (Ruiz & Pav.) Oken,EXACT,ACCEPTED,,7649215,Cordia alliodora (Ruiz & Pav.) Oken,EXACT,ACCEPTED,
Boraginaceae,Cordia bicolor,A.DC.,Cordia bicolor,Cordia,bicolor,,,CORDBI,Cordia bicolor,A.DC.,Species,Accepted,2736580,274895-2,1,2736580,274895-2,274895-2,Cordia bicolor,Cordia,bicolor,Species,Boraginaceae,,,A.DC.,A.DC.,tree,TRUE,71,5660135,Cordia bicolor A.DC. ex A.DC.,EXACT,ACCEPTED,,5660135,Cordia bicolor A.DC. ex A.DC.,EXACT,ACCEPTED,
Boraginaceae,Cordia lasiocalyx,Pittier,Cordia lasiocalyx,Cordia,lasiocalyx,,,CORDLA,Cordia lasiocalyx,Pittier,Species,Accepted,2736923,274981-2,1,2736923,274981-2,274981-2,Cordia lasiocalyx,Cordia,lasiocalyx,Species,Boraginaceae,,,Pittier,Pittier,tree,TRUE,72,5661744,Cordia lasiocalyx Pittier,EXACT,ACCEPTED,,5661744,Cordia lasiocalyx Pittier,EXACT,ACCEPTED,
Euphorbiaceae,Croton schiedeanus,Schltdl.,Croton schiedeanus,Croton,schiedeanus,,,CROTSC,Croton schiedeanus,Schltdl.,Species,Accepted,51113,70846-2,1,51113,70846-2,70846-2,Croton schiedeanus,Croton,schiedeanus,Species,Euphorbiaceae,,,Schltdl.,Schltdl.,tree,TRUE,73,3060306,Croton schiedeanus Schltdl.,EXACT,ACCEPTED,,3060306,Croton schiedeanus Schltdl.,EXACT,ACCEPTED,
Arecaceae,Cryosophila warscewiczii,(H.Wendl.) Bartlett,Cryosophila warscewiczii,Cryosophila,warscewiczii,,,CRYOWA,Cryosophila warscewiczii,(H.Wendl.) Bartlett,Species,Accepted,51867,71214-2,1,51867,71214-2,71214-2,Cryosophila warscewiczii,Cryosophila,warscewiczii,Species,Arecaceae,,,Bartlett,(H.Wendl.) Bartlett,shrub or tree,TRUE,74,2731949,Cryosophila warscewiczii (H.Wendl.) Bartlett,EXACT,ACCEPTED,,2731949,Cryosophila warscewiczii (H.Wendl.) Bartlett,EXACT,ACCEPTED,
Sapindaceae,Cupania glabra,Sw.,Cupania glabra,Cupania,glabra,,,,Cupania glabra,Sw.,Species,Accepted,2747552,782435-1,1,2747552,782435-1,782435-1,Cupania glabra,Cupania,glabra,Species,Sapindaceae,,,Sw.,Sw.,shrub or tree,TRUE,75,3189962,Cupania glabra Sw.,EXACT,ACCEPTED,,3189962,Cupania glabra Sw.,EXACT,ACCEPTED,
Sapindaceae,Cupania guatemalensis,Radlk.,Cupania guatemalensis,Cupania,guatemalensis,,,CUPAGU,Cupania guatemalensis,(Turcz.) Radlk.,Species,Accepted,2747562,782444-1,1,2747562,782444-1,782444-1,Cupania guatemalensis,Cupania,guatemalensis,Species,Sapindaceae,,,Radlk.,(Turcz.) Radlk.,shrub or tree,TRUE,76,3785479,Cupania guatemalensis (Turcz.) Radlk.,EXACT,ACCEPTED,,3785479,Cupania guatemalensis (Turcz.) Radlk.,EXACT,ACCEPTED,
Sapindaceae,Cupania latifolia,Kunth,Cupania latifolia,Cupania,latifolia,,,CUPALA,Cupania latifolia,Kunth,Species,Accepted,2747585,782465-1,1,2747585,782465-1,782465-1,Cupania latifolia,Cupania,latifolia,Species,Sapindaceae,,,Kunth,Kunth,tree,TRUE,77,3785309,Cupania latifolia Kunth,EXACT,ACCEPTED,,3785309,Cupania latifolia Kunth,EXACT,ACCEPTED,
Sapindaceae,Cupania rufescens,Triana & Planch.,Cupania rufescens,Cupania,rufescens,,,CUPARU,Cupania rufescens,Triana & Planch.,Species,Accepted,2747662,782543-1,1,2747662,782543-1,782543-1,Cupania rufescens,Cupania,rufescens,Species,Sapindaceae,,,Triana & Planch.,Triana & Planch.,tree,TRUE,78,3784726,Cupania rufescens Triana & Planch.,EXACT,ACCEPTED,,3784726,Cupania rufescens Triana & Planch.,EXACT,ACCEPTED,
Sapindaceae,Cupania scrobiculata,Rich.,Cupania scrobiculata,Cupania,scrobiculata,,,CUPASC,Cupania scrobiculata,Rich.,Species,Accepted,2747671,782556-1,1,2747671,782556-1,782556-1,Cupania scrobiculata,Cupania,scrobiculata,Species,Sapindaceae,,,Rich.,Rich.,shrub or tree,TRUE,79,7802452,Cupania scrobiculata Rich.,EXACT,ACCEPTED,,7802452,Cupania scrobiculata Rich.,EXACT,ACCEPTED,
Sapindaceae,Cupania seemannii,Triana & Planch.,Cupania seemannii,Cupania,seemannii,,,CUPASY,Cupania seemannii,Triana & Planch.,Species,Accepted,2747675,782558-1,1,2747675,782558-1,782558-1,Cupania seemannii,Cupania,seemannii,Species,Sapindaceae,,,Triana & Planch.,Triana & Planch.,tree,TRUE,80,7264754,Cupania seemannii Triana & Planch.,EXACT,ACCEPTED,,7264754,Cupania seemannii Triana & Planch.,EXACT,ACCEPTED,
Annonaceae,Cymbopetalum lanugipetalum,Schery,Cymbopetalum lanugipetalum,Cymbopetalum,lanugipetalum,,,CYM1LA,Cymbopetalum lanugipetalum,Schery,Species,Accepted,2750608,73946-2,1,2750608,73946-2,73946-2,Cymbopetalum lanugipetalum,Cymbopetalum,lanugipetalum,Species,Annonaceae,,,Schery,Schery,tree,TRUE,81,3157870,Cymbopetalum lanugipetalum Schery,EXACT,ACCEPTED,,3157870,Cymbopetalum lanugipetalum Schery,EXACT,ACCEPTED,
Annonaceae,Cymbopetalum rugulosum,N.A.Murray,Cymbopetalum rugulosum,Cymbopetalum,rugulosum,,,CYM1RU,Cymbopetalum rugulosum,N.A.Murray,Species,Accepted,2750625,975788-1,1,2750625,975788-1,975788-1,Cymbopetalum rugulosum,Cymbopetalum,rugulosum,Species,Annonaceae,,,N.A.Murray,N.A.Murray,tree,TRUE,82,3157833,Cymbopetalum rugulosum N.A.Murray,EXACT,ACCEPTED,,3157833,Cymbopetalum rugulosum N.A.Murray,EXACT,ACCEPTED,
Araliaceae,Dendropanax arboreus,(L.) Decne. & Planch.,Dendropanax arboreus,Dendropanax,arboreus,,,DENDAR,Dendropanax arboreus,(L.) Decne. & Planch.,Species,Accepted,60019,1133937-2,1,60019,1133937-2,1133937-2,Dendropanax arboreus,Dendropanax,arboreus,Species,Araliaceae,,,Decne. & Planch.,(L.) Decne. & Planch.,tree,TRUE,83,3035093,Dendropanax arboreus (L.) Decne. & Planch.,EXACT,ACCEPTED,,3035093,Dendropanax arboreus (L.) Decne. & Planch.,EXACT,ACCEPTED,
Araliaceae,Dendropanax panamensis,M.J.Cannon & Cannon,Dendropanax panamensis,Dendropanax,panamensis,,,DENDPA,Dendropanax panamensis,M.J.Cannon & Cannon,Species,Accepted,60105,275734-2,1,60105,275734-2,275734-2,Dendropanax panamensis,Dendropanax,panamensis,Species,Araliaceae,,,M.J.Cannon & Cannon,M.J.Cannon & Cannon,shrub,TRUE,84,3035087,Dendropanax panamensis M.J.Cannon & Cannon,EXACT,ACCEPTED,,3035087,Dendropanax panamensis M.J.Cannon & Cannon,EXACT,ACCEPTED,
Annonaceae,Desmopsis panamensis,(B.L.Rob.) Saff.,Desmopsis panamensis,Desmopsis,panamensis,,,DES2PA,Desmopsis panamensis,(B.L.Rob.) Saff.,Species,Accepted,2763004,78729-2,1,2763004,78729-2,78729-2,Desmopsis panamensis,Desmopsis,panamensis,Species,Annonaceae,,,Saff.,(B.L.Rob.) Saff.,tree,TRUE,85,3158129,Desmopsis panamensis (B.L.Rob.) Saff.,EXACT,ACCEPTED,,3158129,Desmopsis panamensis (B.L.Rob.) Saff.,EXACT,ACCEPTED,
Fabaceae,Dialium guianense,(Aubl.) Sandwith,Dialium guianense,Dialium,guianense,,,DIALGU,Dialium guianense,(Aubl.) Sandwith,Species,Accepted,2763476,78900-2,1,2763476,78900-2,78900-2,Dialium guianense,Dialium,guianense,Species,Fabaceae,,,Sandwith,(Aubl.) Sandwith,scrambling shrub or tree,TRUE,86,2971008,Dialium guianense (Aubl.) Sandwith,EXACT,ACCEPTED,,2971008,Dialium guianense (Aubl.) Sandwith,EXACT,ACCEPTED,
Araliaceae,Didymopanax morototoni,(Aubl.) Decne. & Planch.,Didymopanax morototoni,Didymopanax,morototoni,,,SCH2MO,Didymopanax morototoni,(Aubl.) Decne. & Planch.,Species,Accepted,61597,90355-1,1,61597,90355-1,90355-1,Didymopanax morototoni,Didymopanax,morototoni,Species,Araliaceae,,,Decne. & Planch.,(Aubl.) Decne. & Planch.,tree,TRUE,87,3038523,Didymopanax morototoni (Aubl.) Decne. & Planch.,EXACT,ACCEPTED,,3038523,Didymopanax morototoni (Aubl.) Decne. & Planch.,EXACT,ACCEPTED,
Sapindaceae,Dilodendron costaricense,(Radlk.) A.H.Gentry & Steyerm.,Dilodendron costaricense,Dilodendron,costaricense,,,DILOCO,Dilodendron costaricense,(Radlk.) A.H.Gentry & Steyerm.,Species,Accepted,2768456,944887-1,1,2768456,944887-1,944887-1,Dilodendron costaricense,Dilodendron,costaricense,Species,Sapindaceae,,,A.H.Gentry & Steyerm.,(Radlk.) A.H.Gentry & Steyerm.,tree,TRUE,88,3787484,Dilodendron costaricense (Radlk.) A.H.Gentry & Steyerm.,EXACT,ACCEPTED,,3787484,Dilodendron costaricense (Radlk.) A.H.Gentry & Steyerm.,EXACT,ACCEPTED,
Fabaceae,Dipteryx oleifera,Benth.,Dipteryx oleifera,Dipteryx,oleifera,,,DIPTPA,Dipteryx oleifera,Benth.,Species,Accepted,2772324,492770-1,1,2772324,492770-1,492770-1,Dipteryx oleifera,Dipteryx,oleifera,Species,Fabaceae,,,Benth.,Benth.,tree,TRUE,89,2947126,Dipteryx oleifera Benth.,EXACT,ACCEPTED,,2947126,Dipteryx oleifera Benth.,EXACT,ACCEPTED,
Putranjivaceae,Drypetes standleyi,G.L.Webster,Drypetes standleyi,Drypetes,standleyi,,,DRYPST,Drypetes standleyi,G.L.Webster,Species,Accepted,65051,85510-2,1,65051,85510-2,85510-2,Drypetes standleyi,Drypetes,standleyi,Species,Putranjivaceae,,,G.L.Webster,G.L.Webster,tree,TRUE,90,3075619,Drypetes standleyi G.L.Webster,EXACT,ACCEPTED,,3075619,Drypetes standleyi G.L.Webster,EXACT,ACCEPTED,
Sapotaceae,Ecclinusa lanceolata,Pierre,Ecclinusa lanceolata,Ecclinusa,lanceolata,,,ECCLLA,Ecclinusa lanceolata,(Mart. & Eichler) Pierre,Species,Accepted,65666,86808-2,1,65666,86808-2,86808-2,Ecclinusa lanceolata,Ecclinusa,lanceolata,Species,Sapotaceae,,,Pierre,(Mart. & Eichler) Pierre,tree,TRUE,91,2887358,Ecclinusa lanceolata (Mart. & Eichler) Pierre,EXACT,ACCEPTED,,2887358,Ecclinusa lanceolata (Mart. & Eichler) Pierre,EXACT,ACCEPTED,
Fabaceae,Enterolobium schomburgkii,(Benth.) Benth.,Enterolobium schomburgkii,Enterolobium,schomburgkii,,,ENTESC,Enterolobium schomburgkii,(Benth.) Benth.,Species,Synonym,2789602,493928-1,1,3295599,77301636-1,77301636-1,Robrichia schomburgkii,Robrichia,schomburgkii,Species,Fabaceae,,,A.R.M.Luz & E.R.Souza,(Benth.) A.R.M.Luz & E.R.Souza,tree,TRUE,92,2961163,Enterolobium schomburgkii (Benth.) Benth.,EXACT,ACCEPTED,,12308693,Robrichia schomburgkii (Benth.) A.R.M.Luz & E.R.Souza,EXACT,SYNONYM,Enterolobium schomburgkii (Benth.) Benth.
Fabaceae,Erythrina costaricensis,Micheli,Erythrina costaricensis,Erythrina,costaricensis,,,ERY1CO,Erythrina costaricensis,Micheli,Species,Accepted,2800828,96578-2,1,2800828,96578-2,96578-2,Erythrina costaricensis,Erythrina,costaricensis,Species,Fabaceae,,,Micheli,Micheli,tree,TRUE,93,5349770,Erythrina costaricensis Micheli,EXACT,ACCEPTED,,5349770,Erythrina costaricensis Micheli,EXACT,ACCEPTED,
Erythroxylaceae,Erythroxylum citrifolium,A.St.-Hil.,Erythroxylum citrifolium,Erythroxylum,citrifolium,,,ERY2CI,Erythroxylum citrifolium,A.St.-Hil.,Species,Accepted,2801324,330131-2,1,2801324,330131-2,330131-2,Erythroxylum citrifolium,Erythroxylum,citrifolium,Species,Erythroxylaceae,,,A.St.-Hil.,A.St.-Hil.,shrub or tree,TRUE,94,7284809,Erythroxylum citrifolium A.St.-Hil.,EXACT,ACCEPTED,,7284809,Erythroxylum citrifolium A.St.-Hil.,EXACT,ACCEPTED,
Erythroxylaceae,Erythroxylum macrophyllum,Cav.,Erythroxylum macrophyllum,Erythroxylum,macrophyllum,,,ERY2MA,Erythroxylum macrophyllum,Cav.,Species,Accepted,2801511,330167-2,1,2801511,330167-2,330167-2,Erythroxylum macrophyllum,Erythroxylum,macrophyllum,Species,Erythroxylaceae,,,Cav.,Cav.,shrub or tree,TRUE,95,7870294,Erythroxylum macrophyllum Cav.,EXACT,ACCEPTED,,7870294,Erythroxylum macrophyllum Cav.,EXACT,ACCEPTED,
Erythroxylaceae,Erythroxylum panamense,Turcz.,Erythroxylum panamense,Erythroxylum,panamense,,,ERY2PA,Erythroxylum panamense,Turcz.,Species,Accepted,2801592,330183-2,1,2801592,330183-2,330183-2,Erythroxylum panamense,Erythroxylum,panamense,Species,Erythroxylaceae,,,Turcz.,Turcz.,shrub or tree,TRUE,96,3694401,Erythroxylum panamense Turcz.,EXACT,ACCEPTED,,3694401,Erythroxylum panamense Turcz.,EXACT,ACCEPTED,
Lecythidaceae,Eschweilera amplexifolia,S.A.Mori,Eschweilera amplexifolia,Eschweilera,amplexifolia,,,ESCHAM,Eschweilera amplexifolia,S.A.Mori,Species,Accepted,313754,939641-1,1,313754,939641-1,939641-1,Eschweilera amplexifolia,Eschweilera,amplexifolia,Species,Lecythidaceae,,,S.A.Mori,S.A.Mori,tree,TRUE,97,3083213,Eschweilera amplexifolia S.A.Mori,EXACT,ACCEPTED,,3083213,Eschweilera amplexifolia S.A.Mori,EXACT,ACCEPTED,
Lecythidaceae,Eschweilera panamensis,Pittier,Eschweilera panamensis,Eschweilera,panamensis,,,ESCHPA,Eschweilera panamensis,Pittier,Species,Accepted,313870,97440-2,1,313870,97440-2,97440-2,Eschweilera panamensis,Eschweilera,panamensis,Species,Lecythidaceae,,,Pittier,Pittier,tree,TRUE,98,3083417,Eschweilera panamensis Pittier,EXACT,ACCEPTED,,3083417,Eschweilera panamensis Pittier,EXACT,ACCEPTED,
Lecythidaceae,Eschweilera reversa,Pittier,Eschweilera reversa,Eschweilera,reversa,,,ESCHPI,Eschweilera reversa,Pittier,Species,Accepted,313895,97452-2,1,313895,97452-2,97452-2,Eschweilera reversa,Eschweilera,reversa,Species,Lecythidaceae,,,Pittier,Pittier,tree,TRUE,99,3083352,Eschweilera reversa Pittier,EXACT,ACCEPTED,,3083352,Eschweilera reversa Pittier,EXACT,ACCEPTED,
Myrtaceae,Eugenia nesiotica,Standl.,Eugenia nesiotica,Eugenia,nesiotica,,,EUGENE,Eugenia nesiotica,Standl.,Species,Accepted,76117,98721-2,1,76117,98721-2,98721-2,Eugenia nesiotica,Eugenia,nesiotica,Species,Myrtaceae,,,Standl.,Standl.,tree,TRUE,100,5417636,Eugenia nesiotica Standl.,EXACT,ACCEPTED,,5417636,Eugenia nesiotica Standl.,EXACT,ACCEPTED,
Myrtaceae,Eugenia oerstediana,O.Berg,Eugenia oerstediana,Eugenia,oerstediana,,,EUGEOE,Eugenia oerstediana,O.Berg,Species,Accepted,76190,595343-1,1,76190,595343-1,595343-1,Eugenia oerstediana,Eugenia,oerstediana,Species,Myrtaceae,,,O.Berg,O.Berg,shrub or tree,TRUE,101,5418017,Eugenia oerstediana O.Berg,EXACT,ACCEPTED,,5418017,Eugenia oerstediana O.Berg,EXACT,ACCEPTED,
