orig_family,orig_name,orig_author,orig_binomial,orig_genus,orig_species,orig_infraspecies_rank,orig_infraspecies,sp6,wcvp_matched_name,wcvp_matched_authors,wcvp_matched_rank,wcvp_matched_status,wcvp_matched_plant_name_id,wcvp_matched_ipni_id,match_similarity,wcvp_accepted_plant_name_id,wcvp_accepted_powo_id,wcvp_accepted_ipni_id,wcvp_accepted_name,wcvp_accepted_name_genus,wcvp_accepted_name_species,wcvp_accepted_name_rank,wcvp_accepted_family,wcvp_accepted_name_infraspecific_rank,wcvp_accepted_name_infraspecies,wcvp_accepted_author,wcvp_accepted_authority,wcvp_lifeform_description,origmatches,row_id,wcvp_matched_name_gbif_id,wcvp_matched_name_gbif_scientificName,wcvp_matched_name_gbif_matchtype,wcvp_matched_name_gbif_status,wcvp_matched_name_gbif_acceptedScientificName,wcvp_accepted_name_gbif_id,wcvp_accepted_name_gbif_scientificName,wcvp_accepted_name_gbif_matchtype,wcvp_accepted_name_gbif_status,wcvp_accepted_name_gbif_acceptedScientificName
Violaceae,Amphirrhox longifolia,Spreng.,Amphirrhox longifolia,Amphirrhox,longifolia,,,AMPHLO,Amphirrhox longifolia,(A.St.-Hil.) Spreng.,Species,Accepted,2634744,866404-1,1,2634744,866404-1,866404-1,Amphirrhox longifolia,Amphirrhox,longifolia,Species,Violaceae,,,Spreng.,(A.St.-Hil.) Spreng.,tree,TRUE,11,4075006,Amphirrhox longifolia (A.St.-Hil.) Spreng.,EXACT,ACCEPTED,,4075006,Amphirrhox longifolia (A.St.-Hil.) Spreng.,EXACT,ACCEPTED,
Bignoniaceae,Amphitecna isthmica,(A.H.Gentry) A.H.Gentry,Amphitecna isthmica,Amphitecna,isthmica,,,AMP1IS,Amphitecna isthmica,(A.H.Gentry) A.H.Gentry,Species,Accepted,319478,108216-1,1,319478,108216-1,108216-1,Amphitecna isthmica,Amphitecna,isthmica,Species,Bignoniaceae,,,A.H.Gentry,(A.H.Gentry) A.H.Gentry,tree,TRUE,12,4094040,Amphitecna isthmica (A.H.Gentry) A.H.Gentry,EXACT,ACCEPTED,,4094040,Amphitecna isthmica (A.H.Gentry) A.H.Gentry,EXACT,ACCEPTED,
Fabaceae,Andira inermis,(W.Wright) DC.,Andira inermis,Andira,inermis,,,ANDIIN,Andira inermis,(W.Wright) Kunth ex DC.,Species,Accepted,2636921,1075415-2,1,2636921,1075415-2,1075415-2,Andira inermis,Andira,inermis,Species,Fabaceae,,,Kunth ex DC.,(W.Wright) Kunth ex DC.,tree,TRUE,13,2952214,Andira inermis (W.Wright) DC.,EXACT,ACCEPTED,,2952214,Andira inermis (W.Wright) DC.,EXACT,ACCEPTED,
Lauraceae,Aniba hostmanniana,(Nees) Mez,Aniba hostmanniana,Aniba,hostmanniana,,,ANIBHO,Aniba hostmanniana,(Nees) Mez,Species,Accepted,2639703,13841-2,1,2639703,13841-2,13841-2,Aniba hostmanniana,Aniba,hostmanniana,Species,Lauraceae,,,Mez,(Nees) Mez,shrub or tree,TRUE,14,4181158,Aniba hostmanniana (Nees) Mez,EXACT,ACCEPTED,,4181158,Aniba hostmanniana (Nees) Mez,EXACT,ACCEPTED,
Lauraceae,Aniba puchury-minor,(Mart.) Mez,Aniba puchury-minor,Aniba,puchury-minor,,,ANIBPU,Aniba puchury-minor,(Mart.) Mez,Species,Accepted,2639736,13872-2,1,2639736,13872-2,13872-2,Aniba puchury-minor,Aniba,puchury-minor,Species,Lauraceae,,,Mez,(Mart.) Mez,tree,TRUE,15,7304533,Aniba puchury-minor (Mart.) Mez,EXACT,ACCEPTED,,7304533,Aniba puchury-minor (Mart.) Mez,EXACT,ACCEPTED,
Annonaceae,Annona papilionella,(Diels) H.Rainer,Annona papilionella,Annona,papilionella,,,ROLLPI,Annona papilionella,(Diels) H.Rainer,Species,Accepted,2603498,77080793-1,1,2603498,77080793-1,77080793-1,Annona papilionella,Annona,papilionella,Species,Annonaceae,,,H.Rainer,(Diels) H.Rainer,tree,TRUE,16,5541609,Annona papilionella (Diels) H.Rainer,EXACT,ACCEPTED,,5541609,Annona papilionella (Diels) H.Rainer,EXACT,ACCEPTED,
Malvaceae,Apeiba membranacea,Spruce ex Benth.,Apeiba membranacea,Apeiba,membranacea,,,APEIME,Apeiba membranacea,Spruce ex Benth.,Species,Accepted,2643251,833266-1,1,2643251,833266-1,833266-1,Apeiba membranacea,Apeiba,membranacea,Species,Malvaceae,,,Spruce ex Benth.,Spruce ex Benth.,tree,TRUE,17,4260481,Apeiba membranacea Spruce ex Benth.,EXACT,ACCEPTED,,4260481,Apeiba membranacea Spruce ex Benth.,EXACT,ACCEPTED,
Malvaceae,Apeiba tibourbou,Aubl.,Apeiba tibourbou,Apeiba,tibourbou,,,APEITI,Apeiba tibourbou,Aubl.,Species,Accepted,2643255,833270-1,1,2643255,833270-1,833270-1,Apeiba tibourbou,Apeiba,tibourbou,Species,Malvaceae,,,Aubl.,Aubl.,tree,TRUE,18,3152052,Apeiba tibourbou Aubl.,EXACT,ACCEPTED,,3152052,Apeiba tibourbou Aubl.,EXACT,ACCEPTED,
Acanthaceae,Aphelandra sinclairiana,Nees,Aphelandra sinclairiana,Aphelandra,sinclairiana,,,APHESI,Aphelandra sinclairiana,Nees,Species,Accepted,2643711,45615-1,1,2643711,45615-1,45615-1,Aphelandra sinclairiana,Aphelandra,sinclairiana,Species,Acanthaceae,,,Nees,Nees,shrub or tree,TRUE,19,3776906,Aphelandra sinclairiana Nees,EXACT,ACCEPTED,,3776906,Aphelandra sinclairiana Nees,EXACT,ACCEPTED,
Primulaceae,Ardisia copeyana,Standl.,Ardisia copeyana,Ardisia,copeyana,,,ARDIFE,Ardisia copeyana,Standl.,Species,Accepted,2647760,18102-2,1,2647760,18102-2,18102-2,Ardisia copeyana,Ardisia,copeyana,Species,Primulaceae,,,Standl.,Standl.,shrub,TRUE,20,5558881,Ardisia copeyana Standl.,EXACT,ACCEPTED,,5558881,Ardisia copeyana Standl.,EXACT,ACCEPTED,
