Name_submitted;sp6;Canonical_author;Name_matched_accepted_family
Eschweilera reversa;ESCHPI;Pittier;Lecythidaceae
Eugenia nesiotica;EUGENE;Standl.;Myrtaceae
Eugenia oerstediana;EUGEOE;O.Berg;Myrtaceae
Eugenia principium;EUGEPR;McVaugh;Myrtaceae
Euterpe precatoria;EUTEPR;Mart.;Arecaceae
Faramea occidentalis;FARAOC;(L.) A.Rich.;Rubiaceae
Faramea ovalis;FARAOV;Standl.;Rubiaceae
Ficus citrifolia;FICUCI;Mill.;Moraceae
Ficus colubrinae;FICUC1;Standl.;Moraceae
Ficus hartwegii;FICUHA;Miq.;Moraceae
Ficus insipida;FICUIN;Willd.;Moraceae
Ficus matiziana;FICUBU;Dugand;Moraceae
Ficus maxima;FICUMA;Mill.;Moraceae
Ficus tonduzii;FICUTO;Standl.;Moraceae
Genipa americana;GENIAM;L.;Rubiaceae
Geonoma calyptrogynoidea;;Burret;Arecaceae
Geonoma congesta;GEONCO;H.Wendl. ex Spruce;Arecaceae
Geonoma interrupta;GEONIN;(Ruiz & Pav.) Mart.;Arecaceae
Geonoma undata;GEONUN;Klotzsch;Arecaceae
Gitara nicaraguensis;ACIDNI;(Hemsl.) Card.-McTeag. & L.J.Gillespie;Euphorbiaceae
Guapira costaricana;GUAPCO;(Standl.) Woodson;Nyctaginaceae
Guapira myrtiflora;GUAPST;(Standl.) Little;Nyctaginaceae
Guarea bullata;GUARSP;Radlk.;Meliaceae
Guarea glabra;;Vahl;Meliaceae
Guarea grandifolia;GUARGR;DC.;Meliaceae
Guarea guidonia;GUARGU;(L.) Sleumer;Meliaceae
Guarea hoffmanniana;GUARMA;C.DC.;Meliaceae
Guatteria dolichopoda;GUATDO;Donn.Sm.;Annonaceae
Guatteria lucens;GUATDU;Standl.;Annonaceae
Guatteria oliviformis;GUATOL;Donn.Sm.;Annonaceae
Guatteria tomentosa;GUATT1;Rusby;Annonaceae
Guazuma ulmifolia;GUAZUL;Lam.;Malvaceae
Guettarda foliacea;GUETFO;Standl.;Rubiaceae
Gustavia nana subsp. rhodantha;GUSTNA;(Standl.) S.A.Mori;Lecythidaceae
Gustavia sessilis;;S.A.Mori;Lecythidaceae
Gustavia superba;GUSTSU;(Kunth) O.Berg;Lecythidaceae
Hampea appendiculata;HAMPAP;Standl.;Malvaceae
Hampea punctulata;HAMPPU;Cuatrec.;Malvaceae
Handroanthus chrysanthus;TAB1CH;(Jacq.) S.O.Grose;Bignoniaceae
Handroanthus ochraceus;TAB1OC;(Cham.) Mattos;Bignoniaceae
Hasseltia floribunda;HASSFL;Kunth;Salicaceae
Hedyosmum scaberrimum;HEDYSC;Standl.;Chloranthaceae
Heisteria acuminata;HEISAC;(Humb. & Bonpl.) Engl.;Olacaceae
Heisteria concinna;HEISCO;Standl.;Olacaceae
Henriettea fascicularis;HEN1FA;M.Gómez;Melastomataceae
Herrania purpurea;HERRPU;(Pittier) R.E.Schult.;Malvaceae
Hieronyma alchorneoides;HYERAL;Allemão;Phyllanthaceae
Hieronyma oblonga;HYEROB;(Tul.) Müll.Arg.;Phyllanthaceae
Hirtella americana;HIRTAM;L.;Chrysobalanaceae
Hirtella latifolia;HIRTLA;Prance;Chrysobalanaceae
Hirtella triandra;HIRTTR;Sw.;Chrysobalanaceae
Hura crepitans;HURACR;L.;Euphorbiaceae
Hybanthus denticulatus;HYBADE;H.E.Ballard, Wetter & N.Zamora;Violaceae
Inga acreana;;Harms;Fabaceae
Inga acrocephala;INGAAC;Steud.;Fabaceae
