current_binomial;current_name;source_current_name;current_authority;sp6;sp4;wcvp_matched_authors;wcvp_matched_name;wcvp_matched_plant_name_id;wcvp_matched_ipni_id;wcvp_matched_status;wcvp_match_similarity;wcvp_accepted_name;wcvp_accepted_binomial;wcvp_accepted_family;wcvp_accepted_authority;wcvp_accepted_plant_name_id;wcvp_accepted_powo_id;wcvp_accepted_ipni_id;wcvp_accepted_lifeform;garwood_name;garwood_synonyms;garwood_lifeform;zotz_name;census_plot;BCI;garwood_BCNM;liana_name;woody_forestgeo;forestgeo_habit;source_list;wcvp_matched_name_gbif_id;wcvp_matched_name_gbif_scientificName;wcvp_matched_name_gbif_matchtype;wcvp_matched_name_gbif_status;wcvp_matched_name_gbif_acceptedScientificName;wcvp_accepted_name_gbif_id;wcvp_accepted_name_gbif_scientificName;wcvp_accepted_name_gbif_matchtype;wcvp_accepted_name_gbif_status;wcvp_accepted_name_gbif_acceptedScientificName
Abelmoschus moschatus;Abelmoschus moschatus;Garwood2009;(L.) Medik.;;;Medik.;Abelmoschus moschatus;2609599;558023-1;Accepted;1;Abelmoschus moschatus;Abelmoschus moschatus;Malvaceae;Medik.;2609599;558023-1;558023-1;annual or shrub;Abelmoschus moschatus;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;8312665;Abelmoschus moschatus (L.) Medik.;EXACT;ACCEPTED;;8312665;Abelmoschus moschatus (L.) Medik.;EXACT;ACCEPTED;
Abuta panamensis;Abuta panamensis;ForestGeo;(Standl.) Krukoff & Barneby;abutpa;ABUP;(Standl.) Krukoff & Barneby;Abuta panamensis;2610398;156-2;Accepted;1;Abuta panamensis;Abuta panamensis;Menispermaceae;(Standl.) Krukoff & Barneby;2610398;156-2;156-2;liana;Abuta panamensis;;L;;;VRAI;FAUX;;VRAI;Climbing;Garwood2009;3830289;Abuta panamensis (Standl.) Krukoff & Barneby;EXACT;ACCEPTED;;3830289;Abuta panamensis (Standl.) Krukoff & Barneby;EXACT;ACCEPTED;
Abuta racemosa;Abuta racemosa;ForestGeo;(Thunb.) Triana & Planch.;abutra;ABUR;Triana & Planch.;Abuta racemosa;2610403;580077-1;Accepted;1;Abuta racemosa;Abuta racemosa;Menispermaceae;Triana & Planch.;2610403;580077-1;580077-1;climbing shrub;Abuta racemosa;;L;;;VRAI;FAUX;Abuta racemosa;VRAI;Climbing;Garwood2009;7349979;Abuta racemosa (Thunb.) Tr. & Pl.;EXACT;ACCEPTED;;7349979;Abuta racemosa (Thunb.) Tr. & Pl.;EXACT;ACCEPTED;
Acalypha arvensis;Acalypha arvensis;Garwood2009;Poepp. & Endl.;;;Poepp.;Acalypha arvensis;208;1115-2;Accepted;1;Acalypha arvensis;Acalypha arvensis;Euphorbiaceae;Poepp.;208;1115-2;1115-2;annual or subshrub;Acalypha arvensis;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;3056742;Acalypha arvensis Poepp.;EXACT;ACCEPTED;;3056742;Acalypha arvensis Poepp.;EXACT;ACCEPTED;
Acalypha diversifolia;Acalypha diversifolia;ForestGeo;Jacq.;acaldi;ACAD;Jacq.;Acalypha diversifolia;487;1228-2;Accepted;1;Acalypha diversifolia;Acalypha diversifolia;Euphorbiaceae;Jacq.;487;1228-2;1228-2;shrub or tree;Acalypha diversifolia;;S;;bci50ha, P10, P13, P18;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;3056298;Acalypha diversifolia Jacq.;EXACT;ACCEPTED;;3056298;Acalypha diversifolia Jacq.;EXACT;ACCEPTED;
Acalypha macrostachya;Acalypha macrostachya;ForestGeo;Jacq.;acalma;ACA2;Jacq.;Acalypha macrostachya;838;1362-2;Accepted;1;Acalypha macrostachya;Acalypha macrostachya;Euphorbiaceae;Jacq.;838;1362-2;1362-2;shrub or tree;Acalypha macrostachya;;U;;bci50ha;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;3056437;Acalypha macrostachya Jacq.;EXACT;ACCEPTED;;3056437;Acalypha macrostachya Jacq.;EXACT;ACCEPTED;
Acalypha wilkesiana;Acalypha wilkesiana;ForestGeo;Müll. Arg.;acalwi;ACAW;Müll.Arg.;Acalypha wilkesiana;1384;337939-1;Accepted;1;Acalypha wilkesiana;Acalypha wilkesiana;Euphorbiaceae;Müll.Arg.;1384;337939-1;337939-1;shrub or tree;Acalypha amentacea subsp. wilkesiana;"Acalypha wilkesiana Müll. Arg.  (Croat 1978; Correa et al. 2004)";H;;;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;3057221;Acalypha wilkesiana Müll.Arg.;EXACT;ACCEPTED;;3057221;Acalypha wilkesiana Müll.Arg.;EXACT;ACCEPTED;
Acianthera verecunda;Acianthera verecunda;Zotz;;;;(Schltr.) Pridgeon & M.W.Chase;Acianthera verecunda;217629;1212559-2;Accepted;1;Acianthera verecunda;Acianthera verecunda;Orchidaceae;(Schltr.) Pridgeon & M.W.Chase;217629;1212559-2;1212559-2;epiphyte;Pleurothallis verecunda;Alt. name: Acianthera verecunda (Schltr.) Pridgeon & M.W. Chase, comb. nov. 2001;E;Acianthera verecunda;;VRAI;FAUX;;FAUX;;Zotz;2839908;Acianthera verecunda (Schltr.) Pridgeon & M.W.Chase;EXACT;ACCEPTED;;2839908;Acianthera verecunda (Schltr.) Pridgeon & M.W.Chase;EXACT;ACCEPTED;
Aciotis rubricaulis;Aciotis rubricaulis;Garwood2009;(Mart. ex DC.) Triana;;;(Mart. ex DC.) Triana;Aciotis rubricaulis;3022752;1101289-2;Accepted;1;Aciotis rubricaulis;Aciotis rubricaulis;Melastomataceae;(Mart. ex DC.) Triana;3022752;1101289-2;1101289-2;;Aciotis rubricaulis;"Aciotis levyana Cogn. (Croat 1978); Aciotis alata (Beurl.) Almeda (Almeda 1997); Aciotis caulialata (Ruiz & Pav.) Triana (Almeda 2001)";Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;3861798;Aciotis rubricaulis (Mart. ex DC.) Triana;EXACT;ACCEPTED;;3861798;Aciotis rubricaulis (Mart. ex DC.) Triana;EXACT;ACCEPTED;
Acmella brachyglossa;Acmella brachyglossa;Garwood2009;Cass.;;;Cass.;Acmella brachyglossa;3123703;174530-1;Accepted;1;Acmella brachyglossa;Acmella brachyglossa;Asteraceae;Cass.;3123703;174530-1;174530-1;annual;Acmella brachyglossa;Spilanthes alba L'Hér. sensu Croat (1978);Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;5386734;Acmella brachyglossa Cass.;EXACT;ACCEPTED;;5386734;Acmella brachyglossa Cass.;EXACT;ACCEPTED;
Acroceras zizanioides;Acroceras zizanioides;Garwood2009;(Kunth) Dandy;;;(Kunth) Dandy;Acroceras zizanioides;387406;3538-2;Accepted;1;Acroceras zizanioides;Acroceras zizanioides;Poaceae;(Kunth) Dandy;387406;3538-2;3538-2;perennial;Acroceras zizanioides;Acroceras oryzoides Stapf;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;4139637;Acroceras zizanioides (Kunth) Dandy;EXACT;ACCEPTED;;4139637;Acroceras zizanioides (Kunth) Dandy;EXACT;ACCEPTED;
Acrostichum aureum;Acrostichum aureum;Garwood2009;L.;;;L.;Acrostichum aureum;3146894;319061-2;Accepted;1;Acrostichum aureum;Acrostichum aureum;Pteridaceae;L.;3146894;319061-2;319061-2;perennial;Acrostichum aureum;;Ha;;;VRAI;FAUX;;FAUX;;Garwood2009;2651706;Acrostichum aureum L.;EXACT;ACCEPTED;;2651706;Acrostichum aureum L.;EXACT;ACCEPTED;
Acrostichum danaeifolium;Acrostichum danaeifolium;Garwood2009;Langsd. & Fisch.;;;Langsd. & Fisch.;Acrostichum danaeifolium;3146895;17002360-1;Accepted;1;Acrostichum danaeifolium;Acrostichum danaeifolium;Pteridaceae;Langsd. & Fisch.;3146895;17002360-1;17002360-1;perennial;Acrostichum danaeifolium;;Ha;;;VRAI;FAUX;;FAUX;;Garwood2009;2651707;Acrostichum danaeifolium Langsd. & Fisch.;EXACT;ACCEPTED;;2651707;Acrostichum danaeifolium Langsd. & Fisch.;EXACT;ACCEPTED;
Adelia triloba;Adelia triloba;ForestGeo;(Müll. Arg.) Hemsl.;ade1tr;ADET;(Müll.Arg.) Hemsl.;Adelia triloba;2996;338143-1;Accepted;1;Adelia triloba;Adelia triloba;Euphorbiaceae;(Müll.Arg.) Hemsl.;2996;338143-1;338143-1;shrub or tree;Adelia triloba;;U;;bci50ha, bci10ha, bci25ha, Zetek, AVA, P10, P13;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;5380432;Adelia triloba (Müll.Arg.) Hemsl.;EXACT;ACCEPTED;;5380432;Adelia triloba (Müll.Arg.) Hemsl.;EXACT;ACCEPTED;
Adelobotrys adscendens;Adelobotrys adscendens;ForestGeo;(Sw.) Triana;adelad;ADE1;(Sw.) Triana;Adelobotrys adscendens;3018365;566051-1;Accepted;1;Adelobotrys adscendens;Adelobotrys adscendens;Melastomataceae;(Sw.) Triana;3018365;566051-1;566051-1;;Adelobotrys adscendens;;L;;;VRAI;FAUX;Adelobotrys adscendens;VRAI;Climbing;Garwood2009;3860874;Adelobotrys adscendens (Sw.) Triana;EXACT;ACCEPTED;;3860874;Adelobotrys adscendens (Sw.) Triana;EXACT;ACCEPTED;
Adelphia hiraea;Adelphia hiraea;ForestGeo;(Gaertn.) W.R. Anderson;maschi;MASH;(Gaertn.) W.R.Anderson;Adelphia hiraea;2621190;60442792-2;Accepted;1;Adelphia hiraea;Adelphia hiraea;Malpighiaceae;(Gaertn.) W.R.Anderson;2621190;60442792-2;60442792-2;liana;Adelphia hiraea;"Mascagnia hippocrateoides (Triana & Planch.) Nied. (Croat 1978); Mascagnia hiraea (Gaertn.) Fawc. & Rendle (Correa et al. 2004)";L;;;VRAI;FAUX;Adelphia hiraea;VRAI;Climbing;Garwood2009;5635040;Adelphia hiraea (Gaertn.) W.R.Anderson;EXACT;ACCEPTED;;5635040;Adelphia hiraea (Gaertn.) W.R.Anderson;EXACT;ACCEPTED;
Adenaria floribunda;Adenaria floribunda;ForestGeo;Kunth;adenfl;;Kunth;Adenaria floribunda;2621392;30023859-2;Accepted;1;Adenaria floribunda;Adenaria floribunda;Lythraceae;Kunth;2621392;30023859-2;30023859-2;shrub or tree;Adenaria floribunda;;Sw;;;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;7286112;Adenaria floribunda Kunth;EXACT;ACCEPTED;;7286112;Adenaria floribunda Kunth;EXACT;ACCEPTED;
Adenocalymma arthropetiolatum;Adenocalymma arthropetiolatum;ForestGeo;A.H. Gentry;ade3ar;;A.H.Gentry;Adenocalymma arthropetiolatum;319323;4267-2;Accepted;1;Adenocalymma arthropetiolatum;Adenocalymma arthropetiolatum;Bignoniaceae;A.H.Gentry;319323;4267-2;4267-2;liana;Adenocalymma arthropetiolatum;;L;;;VRAI;FAUX;;VRAI;Climbing;Garwood2009;4092999;Adenocalymma arthropetiolatum A.H.Gentry;EXACT;ACCEPTED;;4092999;Adenocalymma arthropetiolatum A.H.Gentry;EXACT;ACCEPTED;
Adenocalymma inundatum;Adenocalymma inundatum;ForestGeo;Mart. ex DC.;ade3in;ADE2;Mart. ex DC.;Adenocalymma inundatum;319374;108127-1;Accepted;1;Adenocalymma inundatum;Adenocalymma inundatum;Bignoniaceae;Mart. ex DC.;319374;108127-1;108127-1;liana;Adenocalymma inundatum;Adenocalymma apurense (Kunth) Sandwith sensu Croat (1978);L;;;VRAI;FAUX;;VRAI;Climbing;Garwood2009;7298432;Adenocalymma inundatum Mart. ex DC.;EXACT;ACCEPTED;;7298432;Adenocalymma inundatum Mart. ex DC.;EXACT;ACCEPTED;
Adiantum decoratum;Adiantum decoratum;Garwood2009;Maxon & Weath.;;;Maxon & Weath.;Adiantum decoratum;3144913;4917-2;Accepted;1;Adiantum decoratum;Adiantum decoratum;Pteridaceae;Maxon & Weath.;3144913;4917-2;4917-2;perennial or rhizomatous geophyte;Adiantum decoratum;;H;;;VRAI;FAUX;;FAUX;;Garwood2009;3747462;Adiantum decoratum Maxon & Weath.;EXACT;ACCEPTED;;3747462;Adiantum decoratum Maxon & Weath.;EXACT;ACCEPTED;
Adiantum fructuosum;Adiantum fructuosum;Garwood2009;Spreng.;;;Kunze;Adiantum fructuosum;3144403;17010340-1;Accepted;1;Adiantum fructuosum;Adiantum fructuosum;Pteridaceae;Kunze;3144403;17010340-1;17010340-1;;Adiantum fructuosum;;H;;;VRAI;FAUX;;FAUX;;Garwood2009;8183182;Adiantum fructuosum Kunze;EXACT;ACCEPTED;;8183182;Adiantum fructuosum Kunze;EXACT;ACCEPTED;
Adiantum humile;Adiantum humile;Garwood2009;Kunze;;;Kunze;Adiantum humile;3144425;17010810-1;Accepted;1;Adiantum humile;Adiantum humile;Pteridaceae;Kunze;3144425;17010810-1;17010810-1;rhizomatous geophyte;Adiantum humile;;H;;;VRAI;FAUX;;FAUX;;Garwood2009;3749246;Adiantum humile Kunze;EXACT;ACCEPTED;;3749246;Adiantum humile Kunze;EXACT;ACCEPTED;
Adiantum latifolium;Adiantum latifolium;Garwood2009;Lam.;;;Lam.;Adiantum latifolium;3144441;271633-2;Accepted;1;Adiantum latifolium;Adiantum latifolium;Pteridaceae;Lam.;3144441;271633-2;271633-2;perennial or rhizomatous geophyte;Adiantum latifolium;Adiantum petiolatum Desv. sensu Croat (1978), in part;H;;;VRAI;FAUX;;FAUX;;Garwood2009;2651837;Adiantum latifolium Lam.;EXACT;ACCEPTED;;2651837;Adiantum latifolium Lam.;EXACT;ACCEPTED;
Adiantum lucidum;Adiantum lucidum;Garwood2009;(Cav.) Sw.;;;(Cav.) Sw.;Adiantum lucidum;3144447;17011270-1;Accepted;1;Adiantum lucidum;Adiantum lucidum;Pteridaceae;(Cav.) Sw.;3144447;17011270-1;17011270-1;;Adiantum lucidum;;H;;;VRAI;FAUX;;FAUX;;Garwood2009;2651822;Adiantum lucidum (Cav.) Sw.;EXACT;ACCEPTED;;2651822;Adiantum lucidum (Cav.) Sw.;EXACT;ACCEPTED;
Adiantum lunulatum;Adiantum lunulatum;Garwood2009;Burm.f.;;;Burm.f.;Adiantum lunulatum;2929272;315078-2;Synonym;1;Adiantum philippense subsp. philippense;Adiantum philippense;Pteridaceae;;3144951;77186156-1;77186156-1;rhizomatous geophyte or lithophyte;Adiantum lunulatum;;H;;;VRAI;FAUX;;FAUX;;Garwood2009;7173671;Adiantum lunulatum Burm.fil.;EXACT;SYNONYM;Adiantum philippense subsp. philippense;7923883;Adiantum philippense subsp. philippense;EXACT;ACCEPTED;
Adiantum obliquum;Adiantum obliquum;Garwood2009;Willd.;;;Willd.;Adiantum obliquum;3144471;4995-2;Accepted;1;Adiantum obliquum;Adiantum obliquum;Pteridaceae;Willd.;3144471;4995-2;4995-2;;Adiantum obliquum;;H;;;VRAI;FAUX;;FAUX;;Garwood2009;2651838;Adiantum obliquum Willd.;EXACT;ACCEPTED;;2651838;Adiantum obliquum Willd.;EXACT;ACCEPTED;
Adiantum petiolatum;Adiantum petiolatum;Garwood2009;Desv.;;;Desv.;Adiantum petiolatum;3144947;17012220-1;Accepted;1;Adiantum petiolatum;Adiantum petiolatum;Pteridaceae;Desv.;3144947;17012220-1;17012220-1;rhizomatous geophyte;Adiantum petiolatum;Adiantum petiolatum Desv. sensu Croat (1978), in part;H;;;VRAI;FAUX;;FAUX;;Garwood2009;2651824;Adiantum petiolatum Desv.;EXACT;ACCEPTED;;2651824;Adiantum petiolatum Desv.;EXACT;ACCEPTED;
Adiantum pulverulentum;Adiantum pulverulentum;Garwood2009;L.;;;L.;Adiantum pulverulentum;3144687;315260-2;Accepted;1;Adiantum pulverulentum;Adiantum pulverulentum;Pteridaceae;L.;3144687;315260-2;315260-2;;Adiantum pulverulentum;;H;;;VRAI;FAUX;;FAUX;;Garwood2009;2651851;Adiantum pulverulentum L.;EXACT;ACCEPTED;;2651851;Adiantum pulverulentum L.;EXACT;ACCEPTED;
Adiantum seemannii;Adiantum seemannii;Garwood2009;Hook.;;;Hook.;Adiantum seemannii;3144707;17012970-1;Accepted;1;Adiantum seemannii;Adiantum seemannii;Pteridaceae;Hook.;3144707;17012970-1;17012970-1;;Adiantum seemannii;;H;;;VRAI;FAUX;;FAUX;;Garwood2009;3748782;Adiantum seemannii Hook.;EXACT;ACCEPTED;;3748782;Adiantum seemannii Hook.;EXACT;ACCEPTED;
Adiantum × variopinnatum;Adiantum × variopinnatum;Garwood2009;Jermy & T.G.Walker;;;Jermy & T.G.Walker;Adiantum × variopinnatum;3145097;17510680-1;Accepted;1;Adiantum variopinnatum;Adiantum variopinnatum;Pteridaceae;Jermy & T.G.Walker;3145097;17510680-1;17510680-1;perennial or rhizomatous geophyte;Adiantum x variopinnatum;"Adiantum petiolatum Desv. X Adiantum latifolium Lam.; Adiantum petiolatum Desv. sensu Croat (1978), in part";H;;;VRAI;FAUX;;FAUX;;Garwood2009;7967948;Adiantum × variopinnatum Jermy & T.G.Walker;EXACT;ACCEPTED;;7967948;Adiantum × variopinnatum Jermy & T.G.Walker;EXACT;ACCEPTED;
Aechmea magdalenae;Aechmea magdalenae;Garwood2009;(André) André ex Baker;;;(André) André ex Baker;Aechmea magdalenae;218083;5516-2;Accepted;1;Aechmea magdalenae;Aechmea magdalenae;Bromeliaceae;(André) André ex Baker;218083;5516-2;5516-2;epiphyte;Aechmea magdalenae;;H;;;VRAI;FAUX;;FAUX;;Garwood2009;2697829;Aechmea magdalenae (André) André ex Baker;EXACT;ACCEPTED;;2697829;Aechmea magdalenae (André) André ex Baker;EXACT;ACCEPTED;
Aechmea nudicaulis;Aechmea nudicaulis var. nudicaulis;Garwood2009;(L.) Griseb.;;;;Aechmea nudicaulis;218130;121752-1;Accepted;1;Aechmea nudicaulis;Aechmea nudicaulis;Bromeliaceae;(L.) Griseb.;218130;121752-1;121752-1;perennial or epiphyte;Aechmea nudicaulis var. nudicaulis;;;;;FAUX;VRAI;;FAUX;;Garwood2009;2698486;Aechmea nudicaulis (L.) Griseb.;EXACT;ACCEPTED;;2698486;Aechmea nudicaulis (L.) Griseb.;EXACT;ACCEPTED;
Aechmea pubescens;Aechmea pubescens;Zotz;Baker;;;Baker;Aechmea pubescens;218199;121790-1;Accepted;1;Aechmea pubescens;Aechmea pubescens;Bromeliaceae;Baker;218199;121790-1;121790-1;epiphyte or perennial;Aechmea pubescens;;E;Aechmea pubescens;;VRAI;FAUX;;FAUX;;Zotz;2698312;Aechmea pubescens Baker;EXACT;ACCEPTED;;2698312;Aechmea pubescens Baker;EXACT;ACCEPTED;
Aechmea setigera;Aechmea setigera;Zotz;Mart. ex Schult. & Schult. f.;;;Mart. ex Schult. & Schult.f.;Aechmea setigera;218253;121822-1;Accepted;1;Aechmea setigera;Aechmea setigera;Bromeliaceae;Mart. ex Schult. & Schult.f.;218253;121822-1;121822-1;epiphyte or perennial;Aechmea setigera;;E;Aechmea setigera;;VRAI;FAUX;;FAUX;;Zotz;2697849;Aechmea setigera Mart. ex Schult. & Schult.f.;EXACT;ACCEPTED;;2697849;Aechmea setigera Mart. ex Schult. & Schult.f.;EXACT;ACCEPTED;
Aechmea tillandsioides;Aechmea tillandsioides;Zotz;(Mart. ex Schult. & Schult. f.) Baker;;;(Mart. ex Schult. & Schult.f.) Baker;Aechmea tillandsioides;218283;121847-1;Accepted;1;Aechmea tillandsioides;Aechmea tillandsioides;Bromeliaceae;(Mart. ex Schult. & Schult.f.) Baker;218283;121847-1;121847-1;epiphyte;Aechmea tillandsioides;"Aechmea tillandsioides (Mart. ex Schult. & Schult. f.) Baker var. kienastii (E.Morren ex Mez) L.B.Sm. (Croat 1978); Platyaechmea tillandsioides (Mart. ex Schult. & Schult. f.) L. B. Sm. & W. J. Kress var. kienastii (E.Morren ex Mez) L. B. Sm. & W.J. Kress (1990)";E;Aechmea tillandsioides;;VRAI;FAUX;;FAUX;;Zotz;2698327;Aechmea tillandsioides (Mart. ex Schult. & Schult.f.) Baker;EXACT;ACCEPTED;;2698327;Aechmea tillandsioides (Mart. ex Schult. & Schult.f.) Baker;EXACT;ACCEPTED;
Aegiphila cephalophora;Aegiphila cephalophora;ForestGeo;Standl.;aegice;AEGC;Standl.;Aegiphila cephalophora;3382;5681-2;Accepted;1;Aegiphila cephalophora;Aegiphila cephalophora;Lamiaceae;Standl.;3382;5681-2;5681-2;climber;Aegiphila cephalophora;;L;;;VRAI;FAUX;Aegiphila cephalophora;VRAI;Climbing;Garwood2009;3893257;Aegiphila cephalophora Standl.;EXACT;ACCEPTED;;3893257;Aegiphila cephalophora Standl.;EXACT;ACCEPTED;
Aegiphila elata;Aegiphila elata;ForestGeo;Sw.;aegiel;AEGE;Sw.;Aegiphila elata;3415;860847-1;Accepted;1;Aegiphila elata;Aegiphila elata;Lamiaceae;Sw.;3415;860847-1;860847-1;climbing shrub or tree;Aegiphila elata;;L;;;VRAI;FAUX;Aegiphila elata;VRAI;Climbing;Garwood2009;2925469;Aegiphila elata Sw.;EXACT;ACCEPTED;;2925469;Aegiphila elata Sw.;EXACT;ACCEPTED;
Aegiphila panamensis;Aegiphila panamensis;ForestGeo;Moldenke;aegipa;AEGP;Moldenke;Aegiphila panamensis;3562;5786-2;Accepted;1;Aegiphila panamensis;Aegiphila panamensis;Lamiaceae;Moldenke;3562;5786-2;5786-2;shrub or tree;Aegiphila panamensis;;M;;bci50ha;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;3891222;Aegiphila panamensis Moldenke;EXACT;ACCEPTED;;3891222;Aegiphila panamensis Moldenke;EXACT;ACCEPTED;
Aeschynomene americana;Aeschynomene americana var. glandulosa;Garwood2009;L.;;;(Poir.) Rudd;Aeschynomene americana;2624025;316404-2;Accepted;1;Aeschynomene americana;Aeschynomene americana;Fabaceae;L.;2624025;316404-2;316404-2;annual, perennial or subshrub;Aeschynomene americana var. glandulosa;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;2949235;Aeschynomene americana L.;EXACT;ACCEPTED;;2949235;Aeschynomene americana L.;EXACT;ACCEPTED;
Aeschynomene ciliata;Aeschynomene ciliata;Garwood2009;Vogel;;;Vogel;Aeschynomene ciliata;2624084;472686-1;Accepted;1;Aeschynomene ciliata;Aeschynomene ciliata;Fabaceae;Vogel;2624084;472686-1;472686-1;subshrub or shrub;Aeschynomene ciliata;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;2949280;Aeschynomene ciliata Vogel;EXACT;ACCEPTED;;2949280;Aeschynomene ciliata Vogel;EXACT;ACCEPTED;
Aeschynomene sensitiva;Aeschynomene sensitiva;Garwood2009;Sw.;;;Sw.;Aeschynomene sensitiva;2624395;472949-1;Accepted;1;Aeschynomene sensitiva;Aeschynomene sensitiva;Fabaceae;Sw.;2624395;472949-1;472949-1;subshrub or shrub;Aeschynomene sensitiva;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;2949316;Aeschynomene sensitiva Sw.;EXACT;ACCEPTED;;2949316;Aeschynomene sensitiva Sw.;EXACT;ACCEPTED;
Aiouea montana;Aiouea montana;ForestGeo;(Sw.) R. Rohde;phoeci;PHOM;(Sw.) R.Rohde;Aiouea montana;3014144;77173628-1;Accepted;1;Aiouea montana;Aiouea montana;Lauraceae;(Sw.) R.Rohde;3014144;77173628-1;77173628-1;tree;Cinnamomum triplinerve;"Phoebe mexicana Meisn. (Croat 1978);  Cinnamomum cinnamomifolium (Kunth) Kosterm.; Phoebe cinnamomifolia (Kunth) Nees";T;;bci50ha, bci25ha, P14, P11, Zetek, AVA, Drayton, Pearson, P10, P13, P18, gigante1, gigante_plot;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;9671278;Aiouea montana (Sw.) R.Rohde;EXACT;ACCEPTED;;9671278;Aiouea montana (Sw.) R.Rohde;EXACT;ACCEPTED;
Alchornea costaricensis;Alchornea costaricensis;ForestGeo;Pax & K. Hoffm.;alchco;ALCC;Pax & K.Hoffm.;Alchornea costaricensis;5725;8183-2;Accepted;1;Alchornea costaricensis;Alchornea costaricensis;Euphorbiaceae;Pax & K.Hoffm.;5725;8183-2;8183-2;tree;Alchornea costaricensis;;T;;bci50ha, bci10ha, bci25ha, Zetek, AVA, Drayton, Pearson, P13, P18, gigante_plot;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;3055427;Alchornea costaricensis Pax & K.Hoffm.;EXACT;ACCEPTED;;3055427;Alchornea costaricensis Pax & K.Hoffm.;EXACT;ACCEPTED;
Alchornea latifolia;Alchornea latifolia;ForestGeo;Sw.;alchla;ALCL;Sw.;Alchornea latifolia;5783;338417-1;Accepted;1;Alchornea latifolia;Alchornea latifolia;Euphorbiaceae;Sw.;5783;338417-1;338417-1;tree;Alchornea latifolia;;M;;bci25ha, P14, Zetek, P12, gigante1, gigante_plot;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;3055359;Alchornea latifolia Sw.;EXACT;ACCEPTED;;3055359;Alchornea latifolia Sw.;EXACT;ACCEPTED;
Alibertia dwyeri;Alibertia dwyeri;ForestGeo;Delprete & C.H. Perss.;boropa;BORP;Delprete & C.H.Perss.;Alibertia dwyeri;466629;77116167-1;Accepted;1;Alibertia dwyeri;Alibertia dwyeri;Rubiaceae;Delprete & C.H.Perss.;466629;77116167-1;77116167-1;tree;Borojoa panamensis;Or Borojoa patinoi?;U?;;bci50ha, gigante1, gigante_plot;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;7729119;Alibertia dwyeri Delprete & C.H.Perss.;EXACT;ACCEPTED;;7729119;Alibertia dwyeri Delprete & C.H.Perss.;EXACT;ACCEPTED;
Alibertia edulis;Alibertia edulis;ForestGeo;(Rich.) A. Rich. ex DC.;alibed;ALIE;(Rich.) A.Rich. ex DC.;Alibertia edulis;6016;743001-1;Accepted;1;Alibertia edulis;Alibertia edulis;Rubiaceae;(Rich.) A.Rich. ex DC.;6016;743001-1;743001-1;shrub or tree;Alibertia edulis;;U;;bci50ha, P11, P13;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;5335670;Alibertia edulis (Rich.) A.Rich. ex DC.;EXACT;ACCEPTED;;5335670;Alibertia edulis (Rich.) A.Rich. ex DC.;EXACT;ACCEPTED;
Alibertia patinoi;Alibertia patinoi;ForestGeo;(Cuatrec.) Delprete & C.H. Perss.;alibpa;;(Cuatrec.) Delprete & C.H.Perss.;Alibertia patinoi;468598;77116169-1;Accepted;1;Alibertia patinoi;Alibertia patinoi;Rubiaceae;(Cuatrec.) Delprete & C.H.Perss.;468598;77116169-1;77116169-1;tree;Borojoa patinoi;;;;;FAUX;VRAI;;VRAI;Freestanding;Garwood2009;7825670;Alibertia patinoi (Cuatrec.) Delprete & C.H.Perss.;EXACT;ACCEPTED;;7825670;Alibertia patinoi (Cuatrec.) Delprete & C.H.Perss.;EXACT;ACCEPTED;
Allamanda cathartica;Allamanda cathartica;ForestGeo;L.;allaca;ALLC;L.;Allamanda cathartica;6157;319065-2;Accepted;1;Allamanda cathartica;Allamanda cathartica;Apocynaceae;L.;6157;319065-2;319065-2;scrambling shrub or tree;Allamanda cathartica;;Lw;;;VRAI;FAUX;;VRAI;Climbing;Garwood2009;3169836;Allamanda cathartica L.;EXACT;ACCEPTED;;3169836;Allamanda cathartica L.;EXACT;ACCEPTED;
Allophylus psilospermus;Allophylus psilospermus;ForestGeo;Radlk.;allops;ALLP;Radlk.;Allophylus psilospermus;2629484;781899-1;Accepted;1;Allophylus psilospermus;Allophylus psilospermus;Sapindaceae;Radlk.;2629484;781899-1;781899-1;tree;Allophylus psilospermus;;M;;bci50ha, bci10ha, bci25ha, Zetek, Drayton, P13;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;5577078;Allophylus psilospermus Radlk.;EXACT;ACCEPTED;;5577078;Allophylus psilospermus Radlk.;EXACT;ACCEPTED;
