current_binomial;current_name;source_current_name;current_authority;sp6;sp4;wcvp_matched_authors;wcvp_matched_name;wcvp_matched_plant_name_id;wcvp_matched_ipni_id;wcvp_matched_status;wcvp_match_similarity;wcvp_accepted_name;wcvp_accepted_binomial;wcvp_accepted_family;wcvp_accepted_authority;wcvp_accepted_plant_name_id;wcvp_accepted_powo_id;wcvp_accepted_ipni_id;wcvp_accepted_lifeform;garwood_name;garwood_synonyms;garwood_lifeform;zotz_name;census_plot;BCI;garwood_BCNM;liana_name;woody_forestgeo;forestgeo_habit;source_list;wcvp_matched_name_gbif_id;wcvp_matched_name_gbif_scientificName;wcvp_matched_name_gbif_matchtype;wcvp_matched_name_gbif_status;wcvp_matched_name_gbif_acceptedScientificName;wcvp_accepted_name_gbif_id;wcvp_accepted_name_gbif_scientificName;wcvp_accepted_name_gbif_matchtype;wcvp_accepted_name_gbif_status;wcvp_accepted_name_gbif_acceptedScientificName
Coccoloba padiformis;Coccoloba padiformis;ForestGeo;Meisn.;coccpa;;Meisn.;Coccoloba padiformis;2729418;693797-1;Accepted;1;Coccoloba padiformis;Coccoloba padiformis;Polygonaceae;Meisn.;2729418;693797-1;693797-1;tree;;;;;gigante1, gigante2, gigante_plot;FAUX;;;VRAI;Freestanding;Plot_census;4036806;Coccoloba padiformis Meisn.;EXACT;ACCEPTED;;4036806;Coccoloba padiformis Meisn.;EXACT;ACCEPTED;
Cochlospermum vitifolium;Cochlospermum vitifolium;ForestGeo;(Willd.) Spreng.;cochvi;COCV;(Willd.) Spreng.;Cochlospermum vitifolium;44555;111539-1;Accepted;1;Cochlospermum vitifolium;Cochlospermum vitifolium;Bixaceae;(Willd.) Spreng.;44555;111539-1;111539-1;tree;Cochlospermum vitifolium;;U;;;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;2874865;Cochlospermum vitifolium (Willd.) Spreng.;EXACT;ACCEPTED;;2874865;Cochlospermum vitifolium (Willd.) Spreng.;EXACT;ACCEPTED;
Cocos nucifera;Cocos nucifera;ForestGeo;L.;coconu;;L.;Cocos nucifera;44645;666160-1;Accepted;1;Cocos nucifera;Cocos nucifera;Arecaceae;L.;44645;666160-1;666160-1;tree;Cocos nucifera;;M;;;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;2735117;Cocos nucifera L.;EXACT;ACCEPTED;;2735117;Cocos nucifera L.;EXACT;ACCEPTED;
Codiaeum variegatum;Codiaeum variegatum;ForestGeo;(L.) A.Juss.;codiva;;(L.) Rumph. ex A.Juss.;Codiaeum variegatum;44790;85073-3;Accepted;1;Codiaeum variegatum;Codiaeum variegatum;Euphorbiaceae;(L.) Rumph. ex A.Juss.;44790;85073-3;85073-3;shrub or tree;Codiaeum variegatum;;S;;;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;3071476;Codiaeum variegatum (L.) Rumph. ex A.Juss.;EXACT;ACCEPTED;;3071476;Codiaeum variegatum (L.) Rumph. ex A.Juss.;EXACT;ACCEPTED;
Codonanthe crassifolia;Codonanthe crassifolia;Zotz;(H. Focke) C.V. Morton;;;(H.Focke) C.V.Morton;Codonanthe crassifolia;2730126;62654-2;Synonym;1;Codonanthopsis crassifolia;Codonanthopsis crassifolia;Gesneriaceae;(H.Focke) Chautems & Mat.Perret;2995272;77139499-1;77139499-1;scrambling epiphyte;Codonanthe crassifolia;;E;Codonanthe crassifolia;;VRAI;FAUX;;FAUX;;Zotz;3824299;Codonanthe crassifolia (Focke) C.V.Morton;EXACT;SYNONYM;Codonanthopsis crassifolia (H.Focke) Chautems & Mat.Perret;7673979;Codonanthopsis crassifolia (H.Focke) Chautems & Mat.Perret;EXACT;ACCEPTED;
Codonanthe uleana;Codonanthe uleana;Zotz;Fritsch;;;Fritsch;Codonanthe uleana;2730150;378732-1;Synonym;1;Codonanthopsis uleana;Codonanthopsis uleana;Gesneriaceae;(Fritsch) Chautems & Mat.Perret;2995274;77139504-1;77139504-1;epiphyte;Codonanthe uleana;;E;Codonanthe uleana;;VRAI;FAUX;;FAUX;;Zotz;6365719;Codonanthe uleana Fritsch;EXACT;SYNONYM;Codonanthopsis uleana (Fritsch) Chautems & Mat.Perret;8234574;Codonanthopsis uleana (Fritsch) Chautems & Mat.Perret;EXACT;ACCEPTED;
Cojoba rufescens;Cojoba rufescens;ForestGeo;(Benth.) Britton & Rose;pit1ru;PITR;(Benth.) Britton & Rose;Cojoba rufescens;2730537;62892-2;Accepted;1;Cojoba rufescens;Cojoba rufescens;Fabaceae;(Benth.) Britton & Rose;2730537;62892-2;62892-2;tree;Cojoba rufescens;Pithecellobium rufescens (Benth.) Pittier;M;;bci50ha, bci25ha, Zetek, Drayton, Pearson, gigante_plot;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;2981328;Cojoba rufescens (Benth.) Britton & Rose;EXACT;ACCEPTED;;2981328;Cojoba rufescens (Benth.) Britton & Rose;EXACT;ACCEPTED;
Colubrina glandulosa;Colubrina glandulosa;ForestGeo;Perkins;colugl;COLG;G.Perkins;Colubrina glandulosa;2731490;63438-2;Accepted;1;Colubrina glandulosa;Colubrina glandulosa;Rhamnaceae;G.Perkins;2731490;63438-2;63438-2;tree;Colubrina glandulosa var. glandulosa;;T;;bci50ha, P18;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;5372466;Colubrina glandulosa Perkins;EXACT;ACCEPTED;;5372466;Colubrina glandulosa Perkins;EXACT;ACCEPTED;
Columnea billbergiana;Columnea billbergiana;Zotz;Beurl.;;;Beurl.;Columnea billbergiana;2731688;378785-1;Accepted;1;Columnea billbergiana;Columnea billbergiana;Gesneriaceae;Beurl.;2731688;378785-1;378785-1;epiphyte;Columnea billbergiana;;E;Columnea billbergiana;;VRAI;FAUX;;FAUX;;Zotz;5591253;Columnea billbergiana Beurl.;EXACT;ACCEPTED;;5591253;Columnea billbergiana Beurl.;EXACT;ACCEPTED;
Columnea purpurata;Columnea purpurata;Zotz;Hanst.;;;Hanst.;Columnea purpurata;2731931;378968-1;Accepted;1;Columnea purpurata;Columnea purpurata;Gesneriaceae;Hanst.;2731931;378968-1;378968-1;epiphytic subshrub;Columnea purpurata;;E;Columnea purpurata;;VRAI;FAUX;;FAUX;;Zotz;5588997;Columnea purpurata Hanst.;EXACT;ACCEPTED;;5588997;Columnea purpurata Hanst.;EXACT;ACCEPTED;
