type,label,value
species,Bignonia neoheterophylla-BIGNNE,8373300
species,Billbergia macrolepis,2693848
species,Bixa orellana-BIXAOR,2874863
species,Bixa urucurana-BIXAUR,4087112
species,Blakea parasitica-TOPOPA,5600218
species,Blechnum occidentale,2651529
species,Blechnum serrulatum,2651546
species,Blechum costaricense,3780697
species,Blechum pyramidatum,3173245
species,Blighia sapida-BLIGSA,3189955
species,Boehmeria cylindrica,2984345
species,Bolbitis portoricensis,2650970
species,Bonamia trichantha-BONATR-BONT,7324476
species,Bonellia macrocarpa-JACQMA,7151936
species,Borreria densiflora,2918627
species,Borreria latifolia,2918294
species,Borreria ocymifolia,2918757
species,Borreria prostrata,2918565
species,Borreria remota,2918689
species,Borreria repens,2918063
species,Borreria spicata,2918410
species,Bothriochloa bladhii,2704093
species,Bothriochloa pertusa,2704108
species,Brassavola nodosa,5314167
species,Brassia caudata,5323839
species,Bribria crenata-RINOCR,11081627
species,Bronwenia wurdackii-BANIWU,3984163
species,Brosimum alicastrum-BROSAL-BROA,2984660
species,Brosimum guianense-BROSGU-BROG,7374879
species,Browallia americana,2932934
species,Brownea macrophylla-BROWMA,8170495
species,Bulbophyllum pachyrachis,2844942
species,Bunchosia nitida-BUNCCO-BUNC,7762264
species,Bursera simaruba-BURSSI-BURS,3190450
species,Byrsonima crassifolia-BYRSCR-BYRC,3191361
species,Byrsonima spicata-BYRSSP-BYRS,7864749
species,Caesalpinia pulcherrima-CAESPU,2958715
species,Cajanus cajan-CAJACA,7587087
species,Caladium bicolor,2868390
species,Calathea crotalifera,2761715
species,Calathea inocephala,2761762
species,Calathea latifolia,2761541
species,Calathea lutea,2761987
species,Calathea marantifolia,2761555
species,Calathea micans,8635798
species,Calathea panamensis,7998633
species,Calathea villosa,2761624
species,Calea prunifolia,3147673
species,Callichlamys latifolia-CAL5LA-CAL1,8338389
species,Callisia ciliata,7395355
species,Calophyllum longifolium-CALOLO-CAL2,8223607
species,Calopogonium caeruleum-CAL6CA,7661174
species,Calopogonium mucunoides-CAL6MU,2959433
species,Calycolpus warszewiczianus-CAL1WA-CALW,8353141
species,Calycophyllum candidissimum-CAL2CA-CALC,2904009
species,Calyptrocarya glomerulata,2730038
species,Camaridium neglectum,2826797
species,Camaridium ochroleucum,2826152
species,Campylocentrum micranthum,2820810
species,Campylocentrum pachyrrhizum,2820806
species,Campylocentrum panamense,2820835
species,Campyloneurum angustifolium,7719550
species,Campyloneurum aphanophlebium,8656335
species,Campyloneurum brevifolium,4024988
species,Campyloneurum costatum,2650514
species,Campyloneurum phyllitidis,2650516
species,Canavalia brasiliensis-CAL7BR,2962154
species,Capsicum annuum,2932944
species,Carapichea ipecacuanha,2921359
species,Carica papaya-CARIPA,2874484
species,Carludovica drudei,2860934
species,Carludovica palmata,2860922
species,Casearia aculeata-CASEAC-CAS1,5331145
species,Casearia arborea-CASEAR-CAS2,5331149
species,Casearia arguta-CASEA1,7595115
species,Casearia bicolor-LAETPR-LAEP,5331156
species,Casearia corymbosa-CASEC2-CAS5,5603969
species,Casearia guianensis-CASEGU-CASG,5331144
species,Casearia laetioides-ZUELGU-ZUEG,7434783
species,Casearia sylvestris-CASESY-CASS,5331148
species,Cassipourea elliptica-CASSEL-CAS3,7273558
species,Castilla elastica-CASTEL-CAS4,7531920
species,Catasetum bicolor,2803756
species,Catasetum viridiflavum,2803912
species,Catharanthus roseus,3169830
species,Catopsis sessiliflora,8411322
species,Caularthron bilamellatum,2828116
species,Cavanillesia platanifolia-CAVAPL-CAVP,4073280
species,Cayaponia glandulosa-CAYAGL,3623745
species,Cayaponia granatensis-CAYAGR-CAYG,3623677
species,Cayaponia racemosa-CAYARA-CAYR,2874614
species,Cayaponia sessiliflora-CAYASE,3622786
species,Cecropia insignis-CECRIN-CECI,4013292
species,Cecropia longipes-CECRLO-CECL,4013134
species,Cecropia obtusifolia-CECROB-CECO,2984473
species,Cecropia peltata-CECRPE-CECP,2984476
species,Cedrela odorata-CEDROD-CEDO,3190511
species,Ceiba pentandra-CEIBPE-CEIP,5406697
species,Celtis iguanaea-CELTIG-CELI,2984498
species,Celtis schippii-CELTSC-CELS,4159734
species,Cenchrus brownii,5289737
species,Centropogon cornutus,5412613
species,Centrosema pubescens-CEN2PU-CENP,2964904
species,Ceratophyllum demersum,2882398
species,Ceratopteris pteridoides,2651590
species,Cespedesia spathulata-CESPMA-CES1,3695801
species,Cestrum latifolium-CESTLA-CESL,8131064
species,Cestrum nocturnum-CESTNO,2928791
species,Cestrum racemosum-CESTRA-CESR,7299919
species,Cestrum schlechtendalii-CESTME-CES2,3801334
species,Chamaedorea tepejilote-CHA1TE-CHAW,2734551
species,Chamaesyce hirta,3068956
species,Chamaesyce hypericifolia,3066328
species,Chamaesyce hyssopifolia,3065922
species,Chamaesyce thymifolia,3069747
species,Chamguava schippii-CHA2SC-PSIA,3186028
species,Chamissoa altissima,3085178
species,Chaptalia nutans,8208628
species,Chelonanthus alatus,7518962
species,Chimarrhis parviflora-CHIMPA-CHIP,2918960
species,Chiococca alba-CHI2AL-CHIA,2907406
species,Chloris radiata,5289619
species,Chloris virgata,5289624
species,Chloroleucon mangense-CHLOMA,2943053
species,Chomelia psilocarpa-CHOMPS-CHOP,5337286
species,Chondrodendron tomentosum-CHONTO-CHOT,3033958
species,Chromolaena odorata,3087725
species,Chrysochlamys eclipes-CHR1EC-CHRE,5555749
species,Chrysophyllum argenteum-CHR2AR-CHRA,2885742
species,Chrysophyllum cainito-CHR2CA-CHRC,2885828
species,Chrysothemis friedrichsthaliana,5591990
species,Chusquea simpliciflora,4130088
species,Chysis bruennowiana,2813048
species,Cissampelos pareira-CIS1PA,3033937
species,Cissampelos tropaeolifolia-CIS1TR-CIST,7268762
species,Cissus alata-CISSRH-CISR,7760485
species,Cissus erosa-CISSER-CISE,3039162
species,Cissus fuliginea-CISSPS-CISP,4054108
species,Cissus microcarpa-CISSMI-CISM,4055001
species,Cissus verticillata-CISSSI-CISS,3039173
species,Citrus aurantium-CITRSI,8077391
species,Citrus maxima-CITRMA,3190160
species,Citrus reticulata,3190172
species,Citrus × aurantifolia,3190164
species,Citrus × limon,7647136
species,Cladium jamaicense,2731343
species,Cleome parviflora,7767691
species,Clerodendrum paniculatum,3890745
species,Clibadium surinamense,3104771
species,Clibadium sylvestre,3104756
species,Clitoria falcata-CLITRU,2946543
species,Clitoria javitensis-CLITJA-CLIJ,2946500
species,Clowesia warczewitzii,3653873
species,Clusia flavida-CLUSFL-HAVF,5556500
species,Clusia minor-CLUSPR-CLU1,5421056
species,Clusia uvitana-CLUSUV-CLUU,5555867
species,Cnestidium rufescens-CNESRU-CNER,3687051
species,Coccoloba acuminata-COCCA2-COC2,7291417
species,Coccoloba coronata-COCCCO-COCC,4033276
species,Coccoloba excelsa-COCCEX,7291174
species,Coccoloba johnstonii-COCCJO-COC1,4038317
